"asnum";"client_address";"lon";"lat";"mlabservername";"connect_time";"download_speed";"platform";"remote_address";"test_name";"timestamp";"upload_speed";"latency";"uuid";"region";"city";"hour";"month";"year";"weekday";"day";"filedate";"subnet_id";"id_sub"
"7922";"98.194.217.202";-95.6407;29.7221;"mlab2-ams01";0.230673;370928.746597;"win32";"213.244.128.161";"speedtest";1.354389139E9;38476.966152;0.150655;"83188da7-d278-46f3-98fc-851991275a2f";"TX";"Houston";19.0;12.0;2012.0;5.0;1.0;2.0121201E7;"98.192.0.0/12";"83188da7-d278-46f3-98fc-851991275a2f-7922-98.192.0.0/12"
"7922";"98.194.217.202";-95.6407;29.7221;"mlab2-ams01";0.230673;370928.746597;"win32";"213.244.128.161";"speedtest";1.354389139E9;38476.966152;0.150655;"83188da7-d278-46f3-98fc-851991275a2f";"TX";"Houston";19.0;12.0;2012.0;5.0;1.0;2.0121201E7;"98.192.0.0/10";"83188da7-d278-46f3-98fc-851991275a2f-7922-98.192.0.0/10"
"7922";"50.193.200.254";-122.6048;47.3648;"mlab1-dfw01";0.074942;3588959.02045;"win32";"38.107.216.20";"speedtest";1.354320533E9;1263286.38115;0.065934;"2b37de0c-5f49-4446-8b8f-3b2dad14fb61";"WA";"Gig Harbor";0.0;12.0;2012.0;5.0;1.0;2.0121201E7;"50.128.0.0/9";"2b37de0c-5f49-4446-8b8f-3b2dad14fb61-7922-50.128.0.0/9"
"7922";"67.188.97.50";-122.7507;38.3928;"mlab1-dfw01";0.060897;2770919.97139;"darwin";"38.107.216.20";"speedtest";1.354325444E9;404457.503976;0.076328;"e50dda67-7b79-45e4-8629-44e6d94bb076";"CA";"Santa Rosa";1.0;12.0;2012.0;5.0;1.0;2.0121201E7;"67.160.0.0/11";"e50dda67-7b79-45e4-8629-44e6d94bb076-7922-67.160.0.0/11"
"7922";"50.192.244.146";-97.0;38.0;"mlab1-dfw01";0.050851;5870996.20644;"win32";"38.107.216.20";"speedtest";1.354327116E9;1270458.41194;0.058111;"5a6d1b4d-2fcc-4a14-a2ce-0820a37c69c6";;;1.0;12.0;2012.0;5.0;1.0;2.0121201E7;"50.128.0.0/9";"5a6d1b4d-2fcc-4a14-a2ce-0820a37c69c6-7922-50.128.0.0/9"
"7922";"174.62.174.81";-71.1209;42.283;"mlab1-dfw01";3.9E-4;1104705.78698;"darwin";"127.0.0.1";"speedtest";1.354330495E9;413902.173323;0.073313;"37e15aa1-2c8c-430d-8a5d-91b63e920b25";"MA";"Roslindale";2.0;12.0;2012.0;5.0;1.0;2.0121201E7;"174.48.0.0/12";"37e15aa1-2c8c-430d-8a5d-91b63e920b25-7922-174.48.0.0/12"
"7922";"107.4.138.98";-80.4325;37.2669;"mlab1-dfw01";0.048979;3958999.64622;"win32";"38.107.216.20";"speedtest";1.354333335E9;702588.639095;0.051659;"e241b273-b42b-4ee9-b6b1-981671caa198";"VA";"Blacksburg";3.0;12.0;2012.0;5.0;1.0;2.0121201E7;"107.4.0.0/15";"e241b273-b42b-4ee9-b6b1-981671caa198-7922-107.4.0.0/15"
"7922";"24.62.229.10";-71.3597;42.4586;"mlab1-dfw01";0.075921;1876468.52339;"win32";"38.107.216.20";"speedtest";1.354336721E9;759558.658102;0.067902;"1dc67142-270b-4861-b6c0-81c3c70847e0";"MA";"Concord";4.0;12.0;2012.0;5.0;1.0;2.0121201E7;"24.60.0.0/14";"1dc67142-270b-4861-b6c0-81c3c70847e0-7922-24.60.0.0/14"
"7922";"71.204.182.105";-122.4545;37.601;"mlab1-dfw01";0.068148;2768859.27415;"win32";"38.107.216.20";"speedtest";1.354339648E9;723068.251761;0.066227;"901e06dc-5d05-4ff3-b99f-76fc84789c66";"CA";"Pacifica";5.0;12.0;2012.0;5.0;1.0;2.0121201E7;"71.192.0.0/12";"901e06dc-5d05-4ff3-b99f-76fc84789c66-7922-71.192.0.0/12"
"7922";"174.62.174.81";-71.1209;42.283;"mlab1-dfw01";4.99E-4;1576597.18837;"darwin";"127.0.0.1";"speedtest";1.354345119E9;411774.009615;0.073583;"37e15aa1-2c8c-430d-8a5d-91b63e920b25";"MA";"Roslindale";6.0;12.0;2012.0;5.0;1.0;2.0121201E7;"174.48.0.0/12";"37e15aa1-2c8c-430d-8a5d-91b63e920b25-7922-174.48.0.0/12"